Area,0_4,5_7,8_9,10_14,15,16_17,18_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85+
Trafford,"14,870","8,531","5,501","14,076","2,846","5,907","4,773","11,776","13,764","15,010","16,430","17,781","18,223","15,281","12,722","12,814","9,759","8,566","7,240","5,659","5,049"
Wigan,"19,681","11,178","6,866","18,270","4,029","8,064","7,477","19,310","20,174","19,030","21,461","25,621","24,750","20,778","18,312","21,199","17,181","13,138","9,541","6,389","5,400"
Burnley,"5,847","3,211","1,956","5,040","1,090","2,221","2,229","5,574","5,751","5,315","5,442","6,222","6,143","5,804","5,239","5,841","4,225","3,370","2,622","1,984","1,933"
Chorley,"6,203","3,714","2,249","6,076","1,381","2,558","2,202","6,122","6,210","6,270","7,652","8,416","8,429","7,357","6,689","7,665","5,944","4,437","3,246","2,174","2,161"
Fylde,"3,612","2,157","1,420","4,008",803,"1,743","1,541","3,393","3,591","3,452","4,165","5,361","6,009","5,548","4,916","5,695","5,012","4,118","3,569","2,947","2,697"
Hyndburn,"5,427","3,084","1,918","5,057","1,156","2,170","1,954","5,041","5,287","4,972","5,268","6,089","5,822","5,057","4,569","5,054","4,020","3,053","2,385","1,798","1,553"
Lancaster,"7,232","3,956","2,511","7,714","1,557","3,260","6,456","13,194","7,969","7,366","7,645","9,280","9,626","8,659","7,850","8,735","7,186","6,070","4,922","3,650","3,537"
Pendle,"6,362","3,403","2,060","5,359","1,140","2,190","2,155","5,722","6,301","5,722","5,557","6,146","5,979","5,747","5,283","5,976","4,307","3,355","2,670","2,116","1,902"
Preston,"9,323","4,933","3,005","7,940","1,579","3,334","5,536","14,062","10,750","9,322","9,048","9,746","9,730","8,396","7,168","7,084","5,303","4,606","3,925","2,863","2,549"
Ribble Valley,"2,881","1,819","1,284","3,805",791,"1,552","1,215","2,685","2,414","2,361","3,356","4,456","4,750","4,223","3,758","4,251","3,497","2,767","2,216","1,572","1,479"
Rossendale,"4,329","2,340","1,563","4,052",887,"1,849","1,573","3,869","3,940","4,029","4,565","5,361","5,271","4,733","4,359","4,721","3,364","2,441","1,932","1,453","1,351"
South Ribble,"6,331","3,615","2,268","6,359","1,321","2,728","2,424","6,349","6,290","6,119","7,400","8,336","8,584","7,284","6,727","7,510","5,896","4,811","3,607","2,744","2,354"
West Lancashire,"5,998","3,594","2,341","6,685","1,355","2,812","3,557","7,196","5,447","5,051","6,661","8,008","8,545","7,731","6,943","7,886","6,470","5,294","4,020","2,734","2,357"
Wyre,"5,046","3,154","2,010","5,788","1,284","2,769","2,510","5,387","4,869","4,794","5,500","7,422","7,968","7,505","6,956","8,162","7,347","6,474","5,207","4,021","3,576"
Knowsley,"9,121","5,107","3,205","9,200","2,035","4,120","3,968","9,846","9,229","8,166","8,694","10,509","11,500","10,986","8,984","8,209","6,164","5,780","5,147","3,559","2,364"
Liverpool,"26,099","13,590","8,664","24,315","5,432","10,811","18,329","50,636","39,966","33,053","28,069","30,893","32,022","29,288","25,364","24,418","17,685","16,342","13,967","9,742","7,730"
Sefton,"14,601","8,301","5,467","15,672","3,314","6,979","6,349","15,915","14,915","13,445","15,389","18,772","21,160","20,290","17,790","18,420","15,058","13,715","11,879","8,833","7,526"
St. Helens,"10,269","5,684","3,587","10,212","2,184","4,466","4,309","10,522","10,501","9,747","11,459","12,931","13,174","11,727","10,881","12,255","9,596","8,016","6,129","4,165","3,494"
Wirral,"18,514","10,791","6,886","19,005","4,089","8,436","7,338","18,069","17,939","17,112","19,161","22,719","24,360","22,395","20,263","21,740","17,035","14,284","12,018","9,295","8,334"
East Riding of Yorkshire,"16,400","9,990","6,640","18,625","4,191","8,229","7,976","15,779","15,073","15,931","20,033","24,381","26,056","23,938","22,412","27,070","21,068","17,648","13,951","9,769","9,019"
"Kingston upon Hull, City of","17,358","8,754","5,220","13,944","3,090","6,413","7,913","24,040","20,274","17,303","17,229","17,576","18,022","15,949","13,746","13,844","9,635","8,666","7,322","5,466","4,642"
North East Lincolnshire,"10,005","5,546","3,420","9,264","2,004","4,119","4,148","10,521","9,987","8,703","9,769","11,330","11,973","10,683","9,621","10,236","7,815","6,918","5,712","4,101","3,741"
North Lincolnshire,"10,282","5,782","3,595","9,550","2,132","4,217","3,806","9,522","9,969","9,114","10,180","12,373","12,862","11,649","10,922","11,452","9,017","7,246","5,771","4,241","3,764"
York,"10,677","5,747","3,601","9,712","2,039","4,179","7,879","19,746","14,159","12,552","12,510","13,756","13,697","12,017","10,649","11,716","9,122","7,807","6,589","5,040","4,857"
Craven,"2,528","1,546","1,146","3,317",711,"1,394","1,125","2,403","2,292","2,298","3,041","4,045","4,354","4,174","3,979","4,446","3,687","2,818","2,375","1,841","1,889"
Hambleton,"4,348","2,730","1,806","5,118","1,099","2,123","1,955","4,431","4,197","3,954","4,870","6,419","7,394","6,466","6,102","6,887","5,748","4,709","3,647","2,720","2,417"
Harrogate,"8,677","5,227","3,481","9,432","2,016","4,132","3,241","7,384","8,169","8,379","9,948","12,228","12,830","11,307","9,850","10,674","8,694","7,202","5,889","4,493","4,616"
Richmondshire,"2,910","1,647","1,163","2,949",598,"1,205","1,726","4,252","3,467","2,751","2,964","3,654","3,667","3,329","3,064","3,543","2,797","2,233","1,730","1,212","1,104"
Ryedale,"2,385","1,522",951,"3,024",669,"1,459","1,059","2,203","2,085","2,130","2,687","3,666","4,025","3,741","3,742","4,351","3,604","2,829","2,338","1,743","1,538"
Scarborough,"5,317","3,092","1,979","5,718","1,285","2,539","2,716","6,268","5,367","4,703","5,655","6,933","7,998","7,683","7,500","8,720","7,212","6,099","4,821","3,713","3,475"
Selby,"4,875","2,741","1,818","4,852","1,028","2,167","1,812","4,453","4,346","4,420","5,518","6,651","7,053","6,289","5,419","6,001","4,463","3,239","2,655","1,899","1,750"
Barnsley,"13,957","7,798","4,764","13,378","2,989","5,804","5,597","13,533","14,446","12,793","14,720","18,212","17,843","16,204","14,330","14,843","12,346","9,734","7,708","5,542","4,680"
Doncaster,"19,220","10,558","6,514","17,407","3,794","7,907","7,236","19,417","20,239","17,825","18,852","21,581","22,572","20,928","18,364","18,847","14,737","12,372","10,174","7,486","6,372"
Rotherham,"15,738","8,923","5,722","15,664","3,215","6,797","6,205","15,227","15,422","14,333","16,099","19,442","19,390","17,934","15,663","16,664","13,686","11,097","8,537","6,023","5,499"
Sheffield,"33,977","18,825","11,512","30,193","6,177","12,627","23,505","56,134","38,805","35,936","34,878","39,453","36,497","32,216","27,578","28,687","24,114","20,574","16,800","12,437","11,773"
Bradford,"41,167","22,903","14,579","36,268","7,414","14,248","13,706","35,679","38,810","36,821","35,704","35,914","34,006","31,493","27,588","26,760","18,570","16,918","13,917","10,383","9,604"
Calderdale,"12,906","7,403","4,579","12,563","2,730","5,163","4,736","11,421","12,089","12,375","13,604","15,959","15,886","14,195","12,401","13,344","9,848","7,745","5,956","4,629","4,294"
