Area,0_4,5_7,8_9,10_14,15,16_17,18_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85+
Peterborough,"13,904","7,088","4,336","11,349","2,459","4,741","4,298","12,502","15,046","14,112","12,914","13,289","12,677","11,014","9,642","9,382","6,909","5,792","5,026","3,803","3,348"
Southend-on-Sea,"11,213","5,783","3,715","10,194","2,132","4,322","3,730","9,832","11,282","11,623","12,223","13,083","12,755","10,887","9,667","10,419","8,468","6,716","5,779","4,769","5,066"
Thurrock,"12,005","6,428","3,803","9,949","2,113","4,117","3,623","9,804","11,162","11,808","12,200","12,558","11,535","9,453","8,387","8,739","5,996","4,742","3,784","2,873","2,626"
Cambridge,"6,703","3,186","1,887","5,006","1,078","2,446","6,714","18,076","13,341","11,384","8,469","7,654","7,084","5,908","5,357","4,973","3,832","3,045","2,722","2,306","2,696"
East Cambridgeshire,"5,506","3,098","1,918","4,812","1,003","2,004","1,547","4,110","4,895","5,629","6,080","6,562","6,476","5,478","4,924","5,469","4,239","3,301","2,735","2,132","1,900"
Fenland,"5,221","2,889","1,952","5,525","1,193","2,391","2,024","5,353","5,597","5,224","5,745","6,881","6,999","6,221","6,112","6,616","5,523","4,572","3,779","2,919","2,526"
Huntingdonshire,"10,098","5,860","3,844","10,361","2,188","4,309","3,821","9,507","9,805","10,239","11,605","13,498","13,587","11,759","10,325","11,402","8,875","6,614","4,890","3,567","3,354"
South Cambridgeshire,"9,300","5,483","3,578","9,106","1,946","3,789","2,999","7,148","8,083","9,442","10,791","11,724","11,795","10,168","8,945","9,756","7,515","5,624","4,576","3,590","3,397"
Basildon,"11,405","6,537","4,128","10,891","2,338","4,625","4,075","10,089","10,936","11,562","11,923","13,215","13,085","11,571","9,732","10,497","7,892","6,593","5,713","4,155","3,535"
Braintree,"9,467","5,345","3,384","8,943","1,847","3,640","3,182","7,957","8,373","8,725","10,042","11,720","11,358","9,673","9,048","9,967","7,418","5,615","4,376","3,496","3,508"
Brentwood,"3,926","2,452","1,605","4,585",918,"2,068","1,509","3,648","3,819","4,229","4,784","5,602","6,147","5,147","4,354","4,759","3,701","3,192","2,786","2,180","2,190"
Castle Point,"4,173","2,643","1,752","5,188","1,113","2,317","2,047","4,740","4,212","4,130","5,133","6,349","6,517","5,918","5,642","7,136","5,799","4,686","3,666","2,536","2,314"
Chelmsford,"9,994","5,784","3,747","9,747","2,035","4,415","3,804","9,875","10,643","10,531","11,787","12,844","12,910","11,157","10,047","10,972","8,239","6,469","5,446","4,092","3,772"
Colchester,"10,647","5,841","3,562","9,606","1,991","4,134","5,586","13,886","11,947","11,366","11,633","12,621","12,217","10,488","9,399","10,842","8,200","6,243","5,216","3,931","3,718"
Epping Forest,"7,366","4,193","2,638","7,235","1,519","3,094","2,771","6,663","6,624","7,517","8,378","9,647","9,925","8,625","7,619","8,295","6,426","5,038","4,274","3,469","3,343"
Harlow,"6,020","3,045","1,872","4,929","1,017","2,196","1,831","4,858","5,970","5,942","5,706","6,051","5,984","5,442","4,633","4,143","3,136","2,777","2,644","2,139","1,609"
Maldon,"3,027","1,924","1,337","3,726",811,"1,533","1,218","2,883","2,480","2,833","3,707","4,890","4,835","4,611","4,339","5,101","4,027","2,949","2,317","1,562","1,519"
Rochford,"4,369","2,608","1,760","5,141","1,138","2,221","1,771","4,138","3,729","4,199","5,298","6,576","6,510","5,736","5,308","6,106","4,852","3,981","3,332","2,393","2,121"
Tendring,"6,753","3,940","2,562","7,671","1,627","3,380","2,963","6,709","5,672","5,578","6,856","8,732","9,434","8,825","8,725","11,348","10,221","8,607","7,185","5,612","5,648"
Uttlesford,"4,649","2,983","1,949","5,339","1,124","2,288","1,635","3,601","3,602","4,195","5,147","6,412","6,672","5,981","4,961","5,330","4,196","3,066","2,485","1,921","1,907"
Broxbourne,"6,175","3,409","2,141","5,903","1,131","2,459","2,240","5,620","5,671","6,088","6,338","7,383","7,229","6,129","5,048","5,349","4,324","3,721","3,136","2,300","1,815"
Dacorum,"9,718","5,139","3,269","8,862","1,876","3,802","3,037","7,919","8,671","9,425","10,437","11,079","11,403","10,211","8,742","8,374","6,274","5,036","4,618","3,580","3,375"
East Hertfordshire,"8,299","5,003","3,254","9,096","1,896","3,987","2,755","6,411","7,328","8,688","10,155","11,608","11,835","9,780","7,993","8,346","6,236","4,971","4,204","3,044","2,798"
Hertsmere,"6,707","3,673","2,296","6,212","1,302","2,721","2,094","5,869","6,099","6,309","6,908","7,466","7,899","6,690","5,680","5,778","4,475","3,523","3,096","2,578","2,656"
North Hertfordshire,"8,027","4,559","2,842","7,669","1,629","3,217","2,524","6,126","7,582","8,262","9,359","9,896","10,189","8,530","7,234","7,758","5,950","4,883","4,381","3,120","3,377"
St Albans,"10,296","5,629","3,453","8,926","1,770","3,641","2,561","6,342","7,831","9,626","11,242","11,541","10,981","9,223","7,916","7,910","6,031","5,018","4,214","3,319","3,194"
Stevenage,"5,906","3,064","1,907","5,100","1,114","2,299","2,178","5,448","6,089","5,703","5,645","6,425","6,790","5,763","4,500","4,154","3,241","2,753","2,464","1,867","1,547"
Three Rivers,"5,433","3,190","2,059","5,673","1,143","2,333","1,823","4,357","4,716","5,412","6,124","6,733","7,164","6,000","5,137","5,314","4,001","3,326","3,007","2,160","2,212"
Watford,"6,730","3,353","2,083","5,298","1,144","2,145","2,013","5,711","8,053","8,141","7,315","7,013","6,409","5,361","4,385","3,996","3,143","2,600","2,153","1,676","1,579"
Welwyn Hatfield,"6,775","3,693","2,340","6,085","1,273","2,703","4,251","11,436","7,765","7,152","6,807","7,483","7,790","6,871","5,672","5,500","4,310","3,774","3,545","2,786","2,524"
Breckland,"7,412","3,917","2,516","7,411","1,728","3,155","2,749","7,303","7,334","6,751","7,576","9,026","9,536","8,255","7,913","9,771","8,088","6,719","5,426","4,043","3,862"
Broadland,"6,053","3,763","2,476","7,173","1,524","3,064","2,499","5,482","5,345","6,114","7,689","9,355","9,775","8,640","8,171","9,707","7,931","6,533","5,413","4,108","3,831"
Great Yarmouth,"5,528","2,977","1,953","5,584","1,487","2,475","2,279","5,942","5,731","4,879","5,261","6,533","6,826","6,162","6,061","7,228","6,111","4,746","3,861","2,951","2,702"
King`s Lynn and West Norfolk,"7,970","4,372","2,889","7,888","1,693","3,523","2,981","8,069","8,285","7,413","8,285","9,872","10,432","9,453","9,232","11,253","9,715","8,078","6,618","4,966","4,464"
North Norfolk,"4,327","2,470","1,680","4,954","1,238","2,205","1,911","4,542","4,279","3,863","4,645","6,088","6,773","6,867","7,221","9,239","8,211","6,609","5,794","4,411","4,172"
Norwich,"8,425","3,953","2,314","5,809","1,206","2,498","5,134","15,289","12,794","10,521","8,987","8,592","7,820","6,878","6,430","6,517","5,043","4,199","3,684","3,128","3,291"
South Norfolk,"6,816","3,865","2,512","7,557","1,545","3,202","2,518","5,357","5,740","6,200","7,608","9,031","9,403","8,529","8,033","9,573","7,939","6,204","5,046","3,842","3,492"
Babergh,"4,451","2,983","1,885","5,476","1,124","2,322","1,675","3,958","3,795","4,118","5,228","6,498","6,742","5,900","5,843","6,986","5,695","4,315","3,491","2,705","2,550"
Forest Heath,"4,123","2,020","1,203","3,092",626,"1,210","1,124","4,675","5,508","4,574","3,993","3,952","3,883","3,408","3,081","3,582","2,756","2,307","1,882","1,450","1,299"
Ipswich,"9,250","4,835","2,795","7,552","1,556","3,524","3,556","9,562","10,877","9,963","9,124","9,425","8,991","8,184","7,223","7,137","5,239","4,362","3,880","3,231","3,118"
Mid Suffolk,"5,266","3,235","2,159","5,883","1,281","2,410","1,938","4,537","4,585","4,770","5,729","7,103","7,488","6,894","6,436","7,546","6,036","4,601","3,639","2,641","2,554"
St Edmundsbury,"6,663","3,692","2,343","6,337","1,290","2,830","2,346","6,493","7,211","6,548","7,009","8,219","8,276","6,827","6,427","7,507","6,282","4,993","3,841","2,958","2,916"
Suffolk Coastal,"6,243","3,938","2,547","7,547","1,622","3,225","2,495","5,325","4,992","5,471","6,872","8,716","9,439","8,849","8,294","9,918","8,098","6,556","5,578","4,341","4,232"
Waveney,"6,230","3,538","2,323","6,417","1,377","2,833","2,544","5,963","5,714","5,470","6,374","7,807","7,819","7,322","7,100","8,930","7,714","6,287","5,319","4,114","4,059"
Camden,"13,168","6,781","4,117","9,594","1,805","3,540","7,178","21,863","25,923","24,427","19,169","15,977","13,244","10,958","9,362","9,255","7,306","5,631","4,442","3,455","3,143"
City of London,236,117,65,169,33,72,92,545,956,820,598,627,600,471,476,463,329,258,185,146,117
Hackney,"19,149","9,618","5,742","13,878","2,738","5,270","5,402","21,685","33,838","30,077","21,335","17,393","15,098","11,525","8,856","7,271","5,303","4,370","3,430","2,345","1,947"
Hammersmith and Fulham,"11,900","5,446","3,113","7,621","1,550","2,883","3,483","17,279","26,021","22,008","17,182","13,669","11,414","8,703","7,131","6,677","5,011","4,091","3,035","2,265","2,011"
Haringey,"18,112","9,798","5,977","15,234","2,949","5,600","5,704","18,835","28,062","28,539","22,684","20,135","17,656","13,416","10,613","9,243","6,680","5,895","4,506","2,867","2,421"
Islington,"12,289","5,900","3,683","9,118","1,835","3,560","5,405","20,453","29,744","24,867","17,490","15,076","13,367","10,173","7,901","7,228","5,395","4,490","3,478","2,542","2,131"
Kensington and Chelsea,"9,189","4,765","2,849","6,442","1,137","2,308","3,030","11,322","16,602","18,345","14,400","12,432","11,376","9,475","7,686","8,176","6,271","4,657","3,262","2,458","2,467"
Lambeth,"20,701","10,196","6,180","14,754","2,955","5,576","5,527","26,702","43,135","37,005","27,198","23,088","20,897","15,601","11,372","9,012","6,623","5,994","4,438","3,287","2,845"
Lewisham,"22,004","10,580","6,085","15,268","3,199","6,371","6,557","20,883","26,465","28,663","24,213","21,919","20,481","15,750","11,523","9,789","7,284","6,357","5,113","3,900","3,481"
Newham,"25,384","12,846","7,988","19,587","4,089","7,934","8,388","32,586","40,437","31,895","23,485","21,222","17,479","14,731","10,807","8,533","5,992","5,469","4,055","2,741","2,336"
Southwark,"20,739","9,836","5,726","14,097","2,984","5,656","7,326","26,996","35,725","32,297","25,299","22,926","20,121","16,070","11,084","9,072","6,547","5,432","4,271","3,195","2,884"
Tower Hamlets,"18,750","9,697","5,834","13,202","2,660","4,953","7,010","30,818","40,157","33,028","21,539","15,678","11,778","9,736","7,823","5,863","4,140","4,029","3,204","2,407","1,790"
Wandsworth,"21,670","9,230","5,344","12,521","2,241","4,621","5,541","23,699","47,217","41,740","29,521","22,542","18,100","14,088","11,351","10,658","7,710","6,745","5,126","3,637","3,693"
Westminster,"12,617","6,071","3,655","8,665","1,576","3,374","5,047","17,490","27,498","26,721","20,677","16,716","13,990","11,582","9,998","9,205","7,190","6,017","4,786","3,421","3,100"
Barking and Dagenham,"18,676","8,989","5,342","12,757","2,534","5,246","4,805","13,053","14,971","15,241","14,506","13,716","12,216","10,012","7,727","6,799","4,950","4,326","3,779","3,203","3,063"
Barnet,"26,239","13,804","8,548","21,293","4,350","8,839","7,391","23,913","31,425","30,171","27,104","26,589","23,979","20,848","17,549","16,912","13,326","10,397","9,034","7,000","7,675"
Bexley,"15,182","8,535","5,480","15,018","3,351","6,574","5,903","14,832","14,041","14,473","14,992","17,681","17,994","15,495","12,439","12,795","9,916","8,779","7,481","5,927","5,109"
Brent,"22,446","11,521","7,127","17,942","3,721","7,607","7,261","24,198","34,698","30,190","24,324","21,774","20,546","18,473","14,443","12,268","9,580","8,364","6,684","4,453","3,595"
Bromley,"20,095","11,161","6,900","18,612","3,818","7,912","6,182","16,119","17,887","21,064","22,214","24,854","24,312","20,684","17,049","18,492","14,177","11,593","10,224","8,228","7,815"
Croydon,"27,972","14,388","8,708","23,130","4,912","9,934","8,720","23,591","27,692","28,642","26,693","27,104","28,528","23,071","18,889","17,029","12,587","10,568","8,920","6,398","5,902"
Ealing,"25,426","12,595","7,790","19,043","4,023","7,728","6,922","24,552","33,998","33,577","28,371","25,498","22,877","19,007","16,619","14,196","10,387","9,032","7,268","4,884","4,656"
Enfield,"24,513","13,047","7,883","20,305","4,253","8,547","7,711","21,726","24,957","24,129","22,210","23,846","22,897","18,969","14,988","13,652","11,164","9,228","7,620","5,539","5,282"
Greenwich,"20,945","10,443","5,882","14,984","3,140","5,978","6,943","19,987","22,113","25,213","21,254","19,118","17,134","14,052","11,083","10,172","7,495","6,180","4,939","3,753","3,749"
Harrow,"15,916","9,007","5,414","14,590","3,131","6,604","5,369","16,066","19,345","19,608","17,112","16,638","16,338","15,157","13,084","12,010","9,372","8,048","6,726","4,933","4,588"
Havering,"13,661","8,143","5,087","14,365","3,132","6,439","5,787","14,976","14,662","14,484","14,734","17,071","17,659","16,520","13,674","14,561","11,053","9,508","8,719","6,941","6,056"
Hillingdon,"19,704","10,494","6,421","16,877","3,397","7,227","8,409","21,934","20,878","21,507","20,012","19,679","19,341","16,567","13,525","12,786","9,635","8,426","7,246","5,179","4,692"
Hounslow,"19,725","9,412","5,487","13,945","2,964","5,954","5,759","18,612","26,231","25,465","21,144","18,144","16,704","14,502","12,205","10,845","7,916","6,676","5,297","3,685","3,285"
Kingston upon Thames,"10,964","5,647","3,319","8,541","1,799","3,422","4,643","13,505","12,358","13,356","13,407","12,157","11,126","9,504","7,972","7,982","5,694","4,547","3,753","3,022","3,342"
Merton,"14,830","7,225","4,182","10,474","2,142","4,418","3,849","12,452","19,877","20,904","17,255","15,504","14,039","11,294","9,349","8,777","6,374","5,506","4,524","3,441","3,277"
Redbridge,"21,666","11,561","7,363","18,579","3,689","7,527","6,721","18,894","23,814","23,935","20,642","19,654","18,561","16,456","13,945","12,578","9,165","7,652","6,449","5,104","5,015"
Richmond upon Thames,"14,038","6,986","4,121","9,827","1,966","3,621","3,498","9,145","12,546","16,026","17,433","15,937","14,536","11,805","10,067","10,142","7,406","5,617","4,525","3,709","4,039"
Sutton,"12,750","6,897","4,198","11,673","2,470","5,097","3,920","10,657","13,185","14,303","14,737","15,413","14,928","12,274","10,045","10,366","7,563","6,222","5,345","4,103","4,000"
Waltham Forest,"20,839","10,359","6,104","14,760","3,056","6,234","5,951","20,604","26,508","24,168","21,112","20,243","17,340","14,321","11,301","9,783","7,231","6,182","4,967","3,662","3,524"
Bracknell Forest,"8,027","4,218","2,527","7,082","1,608","3,198","2,425","6,349","7,721","8,414","8,792","9,425","9,181","7,911","6,347","5,833","4,213","3,307","2,789","1,953","1,885"
Brighton and Hove,"15,015","8,186","5,105","13,412","2,627","5,602","9,810","28,129","22,998","21,959","21,789","21,905","20,443","15,345","12,638","12,714","9,535","7,925","6,676","5,572","5,984"
Isle of Wight,"6,412","3,945","2,597","7,968","1,754","3,492","2,944","6,808","6,690","6,340","7,313","9,523","10,017","9,307","9,207","10,994","9,742","7,370","6,048","4,724","5,070"
Medway,"17,224","9,732","6,235","16,765","3,458","7,463","8,110","19,041","17,581","17,246","17,313","19,762","19,699","17,205","14,632","15,454","11,597","9,055","6,997","4,949","4,407"
Milton Keynes,"19,908","10,263","6,205","15,805","3,211","6,339","5,170","14,056","19,596","20,960","19,498","19,090","17,930","16,011","14,099","13,169","8,872","6,595","4,884","3,610","3,550"
Portsmouth,"13,548","6,970","4,061","10,927","2,294","4,628","9,034","22,761","16,991","13,860","13,384","14,280","13,848","11,926","9,312","9,820","7,655","6,206","5,210","4,000","4,341"
Reading,"11,937","5,463","3,093","7,968","1,655","3,279","4,875","14,574","15,113","15,244","12,158","11,104","9,910","8,269","6,851","6,373","4,902","4,156","3,396","2,736","2,642"
Slough,"12,777","6,276","3,718","9,034","1,755","3,664","3,155","9,574","13,351","14,201","11,608","10,093","8,993","7,631","6,391","5,160","3,536","3,101","2,626","1,879","1,682"
Southampton,"15,407","7,406","4,441","11,555","2,539","4,801","10,602","29,384","21,785","18,600","15,686","14,602","14,797","12,716","10,839","10,946","8,647","6,796","5,902","4,759","4,672"
West Berkshire,"10,065","5,512","3,505","9,914","2,095","4,303","3,235","7,341","8,506","9,306","11,109","12,595","12,486","10,965","9,506","9,753","7,406","5,543","4,337","3,253","3,087"
Windsor and Maidenhead,"9,365","5,252","3,332","8,863","1,848","3,910","2,585","7,111","8,841","9,678","10,626","11,645","11,195","9,379","8,161","8,692","6,943","5,481","4,617","3,547","3,489"
Wokingham,"10,031","5,758","3,793","9,740","2,048","4,090","3,349","7,428","8,071","9,782","11,499","12,460","12,780","11,173","9,163","9,426","7,337","5,715","4,637","3,154","2,946"
Aylesbury Vale,"11,345","6,475","4,069","11,267","2,414","4,734","3,736","8,763","9,872","10,928","12,149","14,083","14,497","12,564","10,464","10,741","7,930","6,279","4,901","3,575","3,351"
Chiltern,"5,473","3,510","2,350","6,339","1,284","2,524","1,751","3,693","3,706","4,400","5,718","7,006","7,785","7,072","5,792","6,264","5,130","4,202","3,581","2,560","2,495"
South Bucks,"3,931","2,291","1,526","4,090",828,"1,736","1,333","3,114","3,414","3,464","4,057","5,202","5,412","5,002","4,233","4,283","3,437","3,115","2,477","2,001","1,921"
Wycombe,"11,083","6,523","4,195","10,856","2,200","4,502","4,126","10,404","10,615","11,127","11,989","13,274","12,770","10,900","9,930","9,954","8,192","6,405","5,358","3,796","3,445"
Eastbourne,"5,327","2,978","1,889","5,380","1,147","2,487","2,617","6,093","6,063","5,712","5,924","6,559","6,742","6,008","5,544","6,639","5,350","4,735","4,223","3,797","4,198"
Hastings,"5,570","2,925","1,847","5,317","1,107","2,358","2,294","5,769","5,621","5,217","5,732","6,728","6,772","6,109","5,395","6,092","4,525","3,424","2,824","2,212","2,416"
Lewes,"5,052","3,158","2,071","5,551","1,136","2,366","2,077","4,679","4,596","4,534","5,478","6,895","7,498","6,652","6,391","7,214","5,981","4,908","4,271","3,460","3,534"
Rother,"3,999","2,488","1,608","5,119","1,015","2,237","1,786","3,632","3,377","3,184","4,110","5,732","6,545","6,014","6,017","7,962","6,696","5,569","4,839","4,035","4,624"
Wealden,"7,508","4,866","3,234","9,023","1,841","3,837","3,130","6,306","6,161","6,132","8,046","10,780","11,842","10,606","9,846","11,615","9,944","7,634","6,450","5,020","5,094"
Basingstoke and Deane,"11,355","6,085","3,862","10,369","2,181","4,087","3,342","8,910","11,034","11,448","12,379","13,687","13,738","11,439","9,543","10,189","7,700","5,747","4,583","3,223","2,898"
East Hampshire,"6,209","3,874","2,638","7,305","1,563","3,252","2,516","5,382","5,101","5,497","7,006","8,762","9,639","8,772","7,553","8,236","6,647","5,159","4,122","3,191","3,184"
Eastleigh,"7,737","4,317","2,666","7,399","1,598","3,205","2,724","7,269","7,295","7,848","8,645","9,351","9,750","8,843","7,647","8,074","5,980","4,951","3,974","3,136","2,790"
Fareham,"5,578","3,506","2,292","6,696","1,356","2,874","2,453","5,761","5,406","5,474","6,985","8,584","8,990","8,053","6,961","7,836","6,577","5,244","4,491","3,387","3,077"
Gosport,"5,425","2,930","1,795","4,936","1,134","2,061","1,915","4,979","5,405","4,954","5,430","5,942","6,147","5,688","4,603","5,172","3,948","3,255","2,858","2,054","1,991"
Hart,"5,663","3,527","2,207","5,795","1,160","2,308","1,720","4,261","4,542","5,296","6,959","7,373","7,653","6,316","5,354","5,881","4,732","3,692","2,782","1,970","1,842"
Havant,"6,710","3,944","2,448","7,195","1,580","3,145","2,890","6,798","6,444","5,891","6,676","8,434","8,906","8,485","7,517","8,196","7,011","5,854","5,147","3,987","3,426"
New Forest,"8,592","5,100","3,412","9,665","2,179","3,988","3,559","8,146","7,544","7,840","9,664","11,681","13,216","12,097","11,748","13,889","11,741","9,685","8,428","6,956","7,332"
Rushmoor,"6,747","3,550","2,018","5,440","1,198","2,532","2,286","6,682","7,282","7,494","7,610","7,475","7,201","5,665","4,572","4,611","3,476","2,766","2,043","1,583","1,576"
Test Valley,"6,711","4,014","2,582","7,117","1,560","3,051","2,470","5,694","5,399","5,988","7,712","8,966","9,706","8,392","7,316","8,323","6,640","4,995","4,013","2,912","2,837"
Winchester,"6,580","3,971","2,526","6,953","1,455","3,253","3,426","7,517","5,635","6,231","7,491","8,288","8,899","7,985","6,934","7,672","6,193","4,971","4,046","3,286","3,283"
Ashford,"7,771","4,361","2,997","7,838","1,578","3,164","2,879","6,245","6,470","6,548","7,559","9,483","9,196","7,471","6,749","7,679","6,195","4,614","3,697","2,729","2,733"
Canterbury,"7,514","4,533","2,973","8,393","1,761","3,656","7,892","16,222","8,658","7,258","7,878","9,506","9,686","8,727","8,387","9,656","7,950","6,391","5,198","4,342","4,564"
Dartford,"6,765","3,731","2,248","5,922","1,357","2,461","2,187","6,199","7,081","7,123","7,067","7,651","7,332","6,132","5,064","5,093","3,890","3,208","2,843","2,134","1,877"
Dover,"6,259","3,567","2,312","6,657","1,497","2,959","2,549","5,844","5,891","5,729","6,328","7,878","8,422","7,751","7,290","8,224","6,725","5,196","4,149","3,254","3,193"
Gravesham,"6,647","3,894","2,381","6,529","1,305","2,942","2,476","6,502","6,618","6,369","6,638","7,666","7,584","6,437","5,568","5,874","4,631","3,886","3,350","2,375","2,048"
Maidstone,"9,553","5,406","3,379","9,443","1,886","4,017","3,368","8,633","9,641","9,582","10,212","11,910","11,852","10,300","9,246","10,201","7,997","6,272","4,993","3,738","3,514"
Sevenoaks,"6,976","4,261","2,672","7,093","1,410","3,180","2,287","5,232","5,234","6,263","7,374","8,740","9,084","8,030","7,202","8,188","6,318","4,966","4,194","3,252","2,937"
Shepway,"5,996","3,333","2,242","6,331","1,307","2,796","2,487","6,200","5,591","5,601","6,234","7,697","7,815","7,166","6,616","8,142","6,418","5,175","4,124","3,289","3,409"
Swale,"8,747","4,799","3,173","8,780","1,797","3,664","3,249","7,790","8,180","7,775","8,495","10,072","10,502","8,979","7,986","9,224","7,180","5,511","4,168","3,105","2,659"
Thanet,"8,093","4,436","2,805","8,570","1,726","3,473","3,394","7,396","7,320","6,813","7,347","8,932","9,346","8,461","8,080","9,581","7,908","6,401","5,238","4,333","4,533"
Tonbridge and Malling,"7,447","4,665","3,003","8,169","1,700","3,644","2,734","5,841","5,804","6,599","8,450","9,831","9,668","8,330","6,900","7,593","6,088","4,953","4,033","2,917","2,436"
Tunbridge Wells,"7,308","4,242","2,734","7,671","1,611","3,303","2,290","5,575","6,809","6,974","8,113","9,191","9,071","7,652","6,401","7,029","5,487","4,157","3,545","2,948","2,938"
Cherwell,"9,819","5,170","3,126","8,588","1,743","3,541","3,124","7,590","9,577","9,713","10,145","11,116","11,104","9,284","8,088","8,441","6,316","5,230","4,205","3,129","2,819"
Oxford,"9,251","4,545","2,861","7,114","1,410","3,200","8,302","22,554","17,096","12,863","9,623","8,854","8,494","7,027","6,148","5,924","4,583","3,769","3,066","2,525","2,697"
South Oxfordshire,"8,213","4,809","3,034","8,210","1,759","3,262","2,720","6,214","7,155","7,561","9,212","10,807","10,763","9,353","8,083","8,722","7,255","5,785","4,591","3,374","3,375"
Vale of White Horse,"7,411","4,128","2,599","7,367","1,616","3,188","2,613","5,927","6,959","7,332","7,899","8,946","9,404","8,418","7,440","7,980","6,317","5,054","4,205","3,133","3,052"
West Oxfordshire,"6,362","3,529","2,230","6,056","1,290","2,530","2,178","5,308","6,043","6,162","6,979","8,068","8,428","7,184","6,223","6,947","5,685","4,428","3,619","2,790","2,740"
Elmbridge,"9,358","5,322","3,317","8,315","1,558","3,258","2,339","5,109","6,036","8,430","10,219","10,958","11,045","9,006","7,419","7,668","5,818","4,722","4,043","3,273","3,662"
Epsom and Ewell,"4,628","2,689","1,726","4,737",951,"1,988","1,745","4,182","3,952","4,640","5,368","5,904","6,005","4,972","4,274","4,766","3,502","2,872","2,416","1,851","1,934"
Guildford,"8,110","4,663","2,862","7,466","1,493","3,011","4,443","11,292","9,268","9,210","9,752","9,795","10,063","8,779","7,652","7,931","5,966","4,892","4,134","3,195","3,206"
Mole Valley,"4,604","2,839","1,893","5,348","1,111","2,271","1,630","3,559","3,753","4,330","5,269","6,502","7,019","6,191","5,452","5,930","4,957","3,915","3,457","2,660","2,685"
Reigate and Banstead,"9,153","4,978","3,113","8,218","1,648","3,322","2,706","6,965","8,147","9,676","10,118","10,703","10,946","9,110","7,833","8,466","6,263","4,918","4,282","3,419","3,851"
Runnymede,"4,802","2,531","1,537","4,147",840,"1,708","2,913","6,967","4,512","5,137","5,789","5,832","6,021","5,277","4,412","4,617","3,664","2,944","2,757","2,046","2,057"
Spelthorne,"6,017","3,200","1,965","5,175","1,152","2,260","1,984","5,179","5,940","6,605","6,653","7,442","7,845","6,471","5,419","5,611","4,537","3,970","3,332","2,509","2,332"
Surrey Heath,"5,129","3,145","2,008","5,464","1,096","2,288","1,747","4,207","4,581","5,072","6,133","7,101","7,144","6,146","5,191","5,287","4,267","3,401","2,954","1,955","1,828"
Tandridge,"4,886","2,895","1,820","5,391","1,084","2,253","1,647","3,997","3,905","4,572","5,281","6,402","6,789","5,900","5,209","5,612","4,499","3,391","2,807","2,367","2,291"
Waverley,"7,341","4,548","2,787","7,727","1,691","3,523","2,696","5,101","5,248","6,384","8,348","9,333","9,432","8,300","7,255","8,036","6,710","5,251","4,585","3,405","3,871"
Woking,"7,278","3,722","2,281","5,578","1,154","2,263","1,903","4,961","6,812","7,803","8,103","7,687","7,418","6,494","5,443","5,455","4,090","3,290","2,883","2,254","2,326"
Adur,"3,537","1,899","1,211","3,173",783,"1,501","1,256","2,982","3,131","3,363","3,947","4,532","4,450","4,003","3,679","4,301","3,658","3,057","2,602","2,082","2,035"
Arun,"7,386","4,180","2,788","7,416","1,584","3,139","3,208","7,443","7,314","7,190","8,113","10,123","10,463","9,404","9,080","11,359","10,264","8,971","7,558","6,037","6,498"
Chichester,"5,652","3,375","2,255","6,092","1,259","2,368","2,890","6,200","5,150","5,205","6,121","7,497","8,312","7,795","7,179","8,550","7,551","6,219","5,515","4,317","4,292"
Crawley,"8,071","4,074","2,412","6,244","1,247","2,652","2,320","6,816","9,044","9,150","8,120","8,102","7,557","6,689","5,469","5,162","3,407","2,860","2,703","2,451","2,047"
Horsham,"7,151","4,379","2,872","8,469","1,672","3,551","2,653","5,660","5,858","6,732","8,200","10,310","10,978","9,784","8,353","9,109","7,279","5,851","4,903","3,814","3,723"
Mid Sussex,"8,343","5,028","3,147","8,755","1,832","3,700","2,693","6,490","7,510","8,043","9,451","11,006","11,114","9,536","8,617","9,288","7,356","5,448","4,726","3,879","3,898"
Worthing,"6,346","3,438","2,121","5,584","1,180","2,270","2,209","5,497","6,013","6,415","6,938","7,933","7,919","6,775","5,852","6,576","5,344","4,597","3,986","3,569","4,078"
Bath and North East Somerset,"9,238","5,192","3,508","9,568","2,071","4,125","7,086","15,995","10,141","9,478","10,726","12,196","12,824","11,115","10,134","10,802","8,803","7,125","6,041","4,940","4,908"
Bournemouth,"10,275","4,862","2,999","8,399","1,732","3,517","6,141","17,130","14,935","14,309","12,392","12,369","12,284","10,361","9,285","10,190","8,048","6,613","6,149","5,355","6,146"
"Bristol, City of","29,633","14,371","8,466","21,703","4,408","8,922","13,711","44,371","40,752","36,418","30,435","28,307","27,076","23,319","20,392","20,078","15,222","12,503","10,697","8,538","8,912"
Cornwall,"27,366","15,714","10,359","29,972","6,530","12,575","12,695","28,357","26,373","26,702","30,276","36,620","38,486","36,853","35,543","42,611","35,224","26,543","21,397","16,349","15,728"
Isles of Scilly,105,65,40,114,22,7,27,111,135,127,130,170,175,155,142,172,164,107,81,84,70
North Somerset,"11,653","6,681","4,343","11,579","2,396","4,749","4,181","9,491","10,363","10,691","12,598","14,997","15,404","13,428","12,725","14,654","12,468","9,603","7,921","6,122","6,519"
Plymouth,"15,336","7,956","4,991","13,645","2,954","6,011","8,839","24,343","18,888","15,402","15,537","17,723","17,582","16,367","13,955","15,140","12,156","9,843","8,120","5,978","5,618"
