Area,All,Not_working,Families_working,Families_notworking_pct,Families_fulltime,Families_parttime,Families_fulltime_pct
E01001864 : Hammersmith and Fulham 006E,45.0,18.0,27.0,60.0,15.0,30.0,66.66666666666667
E01001870 : Hammersmith and Fulham 012D,45.0,19.0,26.0,57.77777777777778,16.0,29.0,64.44444444444444
E01001879 : Hammersmith and Fulham 019A,45.0,20.0,25.0,55.55555555555556,8.0,37.0,82.22222222222223
E01001894 : Hammersmith and Fulham 013B,46.0,25.0,21.0,45.65217391304348,8.0,38.0,82.6086956521739
E01001909 : Hammersmith and Fulham 015C,47.0,18.0,29.0,61.702127659574465,22.0,25.0,53.191489361702125
E01001854 : Hammersmith and Fulham 007C,48.0,23.0,25.0,52.083333333333336,14.0,34.0,70.83333333333333
E01001930 : Hammersmith and Fulham 008D,48.0,21.0,27.0,56.25,13.0,35.0,72.91666666666667
E01001942 : Hammersmith and Fulham 005D,51.0,15.0,36.0,70.58823529411765,20.0,31.0,60.78431372549019
E01001928 : Hammersmith and Fulham 011A,52.0,20.0,32.0,61.53846153846154,15.0,37.0,71.15384615384616
E01001948 : Hammersmith and Fulham 021B,52.0,30.0,22.0,42.30769230769231,12.0,40.0,76.92307692307692
E01001946 : Hammersmith and Fulham 004D,54.0,27.0,27.0,50.0,18.0,36.0,66.66666666666667
E01001960 : Hammersmith and Fulham 003D,57.0,28.0,29.0,50.87719298245614,18.0,39.0,68.42105263157895
E01001884 : Hammersmith and Fulham 017E,57.0,26.0,31.0,54.3859649122807,26.0,31.0,54.3859649122807
E01001861 : Hammersmith and Fulham 006C,59.0,27.0,32.0,54.23728813559322,18.0,41.0,69.49152542372882
E01001935 : Hammersmith and Fulham 023A,59.0,24.0,35.0,59.32203389830509,18.0,41.0,69.49152542372882
E01032789 : Hammersmith and Fulham 023E,59.0,25.0,34.0,57.6271186440678,16.0,43.0,72.88135593220339
E01001877 : Hammersmith and Fulham 001D,60.0,26.0,34.0,56.666666666666664,18.0,42.0,70.0
E01001943 : Hammersmith and Fulham 004A,60.0,37.0,23.0,38.333333333333336,14.0,46.0,76.66666666666667
E01001858 : Hammersmith and Fulham 006A,61.0,29.0,32.0,52.459016393442624,19.0,42.0,68.85245901639344
E01001903 : Hammersmith and Fulham 019D,62.0,29.0,33.0,53.225806451612904,16.0,46.0,74.19354838709677
E01001945 : Hammersmith and Fulham 004C,63.0,25.0,38.0,60.317460317460316,19.0,44.0,69.84126984126983
E01001873 : Hammersmith and Fulham 010E,63.0,28.0,35.0,55.55555555555556,14.0,49.0,77.77777777777777
E01032790 : Hammersmith and Fulham 023F,64.0,36.0,28.0,43.75,7.0,57.0,89.0625
